,precision,recall,f1-score,support
Diffuse,0.188,0.333,0.24,9.0
Cored,0.667,0.571,0.615,14.0
Compact,1.0,0.583,0.737,12.0
Coarse,0.44,0.733,0.55,15.0
CAA,0.615,0.8,0.696,10.0
Subpial,0.667,0.588,0.625,17.0
OtherAB,0.0,0.0,0.0,5.0
UndefAB,0.143,0.167,0.154,6.0
NonAB,0.0,0.0,0.0,7.0
macro avg,0.413,0.42,0.402,95.0
weighted avg,0.505,0.505,0.488,95.0
